Offspring,Parents
10.7,10.1
9.78,9.55
9.48,9.4
9.6,10.25
10.27,10.125
9.5,9.7
9,9.05
7.46,7.4
7.65,9
8.63,8.65
9.81,9.625
9.4,9.9
9.48,9.55
8.75,9.05
7.6,8.35
10,10.1
10.09,10.1
9.74,9.9
9.64,10.225
8.49,10
10.15,10.55
10.28,10.45
9.2,9.2
10.01,10.2
9.03,8.95
9.94,10.05
10.5,10.2
9.7,9.5
10.02,9.925
10.04,9.95
9.43,10.05
8.1,8.75
9.5,9.2
9.9,10.15
9.48,9.8
10.18,10.7
10.16,10.5
9.08,9.55
10.39,10.55
9.9,10.475
8.4,8.65
10.6,10.7
8.75,9.1
9.46,9.4
9.6,10.3
9.6,9.65
9.95,9.5
10.05,9.7
10.16,10.525
10.1,9.95
9.83,10.1
9.46,9.75
9.7,10.05
9.82,9.9
10.34,10
8.02,9.1
9.65,9.45
9.87,9.25
9,9.5
11.14,10
9.25,10.525
8.14,9.9
10.23,10.4
8.7,8.95
9.8,9.4
10.54,10.95
11.19,10.75
9.85,10.1
8.1,8.05
9.3,9.1
9.34,9.55
9.19,9.05
9.52,10.2
9.36,10
8.8,10.55
8.6,10.75
8,8.175
8.5,9.7
8.3,8.8
10.38,10.75
8.54,9.3
8.94,9.7
10,9.6
9.76,9.75
9.45,9.6
9.89,10.45
10.9,11
9.91,10.85
9.39,10.15
9.86,10.35
9.74,10.4
9.9,9.95
9.09,9.1
9.69,10.1
10.24,9.85
8.9,9.625
9.67,9.475
8.93,9
9.3,9.25
8.67,9.1
9.15,9.25
9.23,9.2
9.59,9.95
9.03,8.65
9.58,9.8
8.97,9.4
8.57,9
8.47,8.55
8.71,8.75
9.21,9.65
9.13,8.95
8.5,9.15
9.58,9.85
9.21,10.225
9.6,9.825
9.32,10
8.7,9.425
10.46,10.4
9.29,9.875
9.24,8.95
9.45,8.9
9.35,9.35
10.19,10.425
9.91,10
9.18,10.175
9.89,9.875
9.6,9.875
10.3,9.15
9.45,9.45
8.79,9.025
9.2,9.7
8.8,9.7
9.69,10.05
10.61,10.3
9.6,9.6
9.9,10
9.26,9.8
10.2,10.05
8.79,8.75
9.28,10.55
8.83,9.7
9.76,10
10.2,9.85
9.43,9.8
9.4,9.175
9.9,9.65
9.5,9.55
8.95,9.9
9.98,11.55
9.72,11.3
9.86,10.4
11.1,10.8
9.14,9.8
10.49,10.45
9.75,10
10.35,10.75
9.73,9.35
9.83,10.75
8.69,9.175
9.58,9.65
8.42,8.8
9.25,10.55
10.12,10.675
9.31,9.95
9.99,9.55
8.59,8.825
8.74,9.7
8.79,9.85
9.6,9.8
9.52,9.55
8.93,9.275
10.23,10.325
9.35,9.15
9.35,9.35
9.09,9.15
9.04,9.65
9.75,10.575
10.5,9.975
9.09,9.55
9.05,9.2
9.54,9.925
9.3,9.2
9.06,9.3
8.7,8.775
9.32,9.325
8.4,9.175
8.67,9.325
8.6,8.975
9.53,9.7
9.77,9.5
9.65,10.225
9.43,10.025
8.35,8.2
8.26,8.2
9.5,9.55
8.6,9.05
9.57,9.6
9.14,9.6
10.79,10.15
8.91,9.875
9.93,10.485
10.7,11.485
9.3,10.985
9.93,9.7
9.51,9.65
9.44,9.35
10.05,10.05
10.13,10.1
9.24,9.9
8.21,8.95
8.9,9.3
9.34,9.95
8.77,9.45
9.4,9.5
8.82,8.45
8.83,8.8
8.6,8.525
9.5,9.375
10.2,10.2
8.09,7.625
9.07,8.375
9.29,9.25
9.1,9.4
10.19,10.55
9.25,8.9
8.98,8.8
9.02,9
8.6,8.575
8.25,8.575
8.7,9.6
9.9,9.375
9.65,9.6
9.45,9.95
9.38,9.6
10.4,10.2
9.96,9.85
9.46,9.625
8.26,9.025
10.05,10.375
8.92,10.25
9.5,9.3
9.43,9.5
8.97,9.55
8.44,8.55
8.92,9.05
10.3,9.9
8.4,9.8
9.37,9.75
9.91,10.25
10,9.1
9.21,9.65
9.95,10.3
8.84,8.9
9.82,9.95
9.5,9.5
10.29,9.775
8.4,9.425
8.31,7.75
9.29,7.55
8.86,9.1
9.4,9.6
9.62,9.575
8.62,8.95
8.3,9.65
9.8,9.65
8.48,9.65
9.61,9.525
9.5,9.85
9.37,9.05
8.74,9.3
9.31,8.9
9.5,9.45
9.49,10
9.74,9.85
9.2,9.25
9.24,10.1
9.7,9.125
9.64,9.65
9.2,9.1
7.5,8.05
7.5,7.4
8.7,8.85
8.31,9.075
9,9
9.74,9.7
9.31,8.7
10.5,9.45
9.3,9.7
8.12,8.35
9.34,8.85
9.72,9.7
9,9.45
9.65,10.3
9.9,10
10,10.45
10.1,9.45
8,8.5
9.07,8.3
9.75,10
9.33,9.225
8.11,9.75
9.36,9.15
9.74,9.55
9.9,9
9.23,9.275
9.7,9.35
8.2,8.95
9.35,9.875
9.49,8.45
9.34,8.6
8.87,9.7
9.03,8.55
9.07,9.05
9.43,9.6
8.2,8.65
9.19,9.2
9,8.95
9.2,9.6
9.06,9.15
9.81,9.4
8.89,8.95
9.4,9.95
10.45,10.55
9.64,9.7
9.03,8.85
8.71,8.8
9.91,10
8.33,9.05
8.2,8.2
7.83,8.1
7.14,7.25
8.91,8.3
9.18,9.15
8.8,8.6
9.9,9.5
7.73,8.05
9.25,9.425
8.7,9.3
9.5,9.8
9.3,9.3
9.05,9.85
10.18,9.5
8.85,8.65
9.24,9.825
9.15,9
9.98,10.45
8.77,9.1
9.8,9.55
8.65,9.05
10,10
8.81,9.35
8.01,8.375
7.9,8.3
9.41,8.8
10.18,10.1
9.55,9.5
9.08,9.75
8.4,10.1
9.75,9.575
8.9,9.425
9.07,9.65
9.35,8.725
8.9,9.025
8.19,8.5
8.65,8.95
9.19,9.3
8.9,8.85
9.28,8.95
10.58,9.8
9,9.5
9.4,8.65
8.91,9.1
9.93,9.4
10,8.475
9.37,9.35
7.4,7.95
9,9.35
8.8,8.575
9.18,9.05
8.3,8.175
10.08,9.85
7.9,7.85
9.96,9.85
10.4,10.1
9.65,9.35
8.8,8.85
8.65,8.75
9.7,9.625
9.23,9.25
9.43,9.55
9.93,10.325
8.47,8.55
9.55,9.675
9.28,9.15
8.85,9
8.9,9.65
8.75,8.6
8.63,8.8
9,9
9.43,9.95
8.28,8.4
9.23,9.35
10.4,10.3
9,9.05
9.8,9.975
9.77,9.975
8.97,8.65
8.37,8.725
7.7,8.2
7.9,7.85
9.5,8.775
8.2,8.5
8.8,9.4
